changeset,key,value
146608359,hashtags,dwg
146608359,hashtags,https
135947664,hashtags,quest_accessible_for_pedestrians
135948503,hashtags,quest_accessible_for_pedestrians
135962967,hashtags,quest_accessible_for_pedestrians
138108178,hashtags,tflcid
142793890,hashtags,streetcomplete
148278957,hashtags,tomtom
148332476,hashtags,addprohibitedforpedestrians
148332476,hashtags,streetcomplete
148333110,hashtags,addprohibitedforpedestrians
148333110,hashtags,streetcomplete
151618858,hashtags,addprohibitedforpedestrians
151618858,hashtags,streetcomplete
151619661,hashtags,addprohibitedforpedestrians
151619661,hashtags,streetcomplete
154127513,hashtags,londonwalkabout
154139888,hashtags,londonwalkabout
154143456,hashtags,londonwalkabout
154183253,hashtags,londonwalkabout
154187956,hashtags,londonwalkabout
154190166,hashtags,londonwalkabout
154191335,hashtags,londonwalkabout
131764088,hashtags,waymap
131784042,hashtags,waymap
131784621,hashtags,waymap
131819336,hashtags,waymap
131819561,hashtags,tflcid
131819561,hashtags,waymap
131820735,hashtags,tflcid
131820735,hashtags,waymap
131849408,hashtags,tflcid
131870098,hashtags,waymap
131870982,hashtags,waymap
145560517,hashtags,tflcid
145560834,hashtags,tflcid
145561056,hashtags,addprohibitedforpedestrians
145561056,hashtags,streetcomplete
148672890,hashtags,addprohibitedforpedestrians
148672890,hashtags,streetcomplete
148673496,hashtags,addprohibitedforpedestrians
148673496,hashtags,streetcomplete
148678126,hashtags,addprohibitedforpedestrians
148678126,hashtags,streetcomplete
151210851,hashtags,addprohibitedforpedestrians
151210851,hashtags,streetcomplete
151211009,hashtags,addprohibitedforpedestrians
151211009,hashtags,streetcomplete
151211217,hashtags,addprohibitedforpedestrians
151211217,hashtags,streetcomplete
154000865,hashtags,londonwalkabout
154009846,hashtags,mapwithoutai
154010351,hashtags,londonwalkabout
154011956,hashtags,londonwalkabout
154021204,hashtags,londonwalkabout
154022318,hashtags,londonwalkabout
154028112,hashtags,londonwalkabout
154059775,hashtags,londonwalkabout
154064264,hashtags,londonwalkabout
154090480,hashtags,londonwalkabout
154096661,hashtags,londonwalkabout
154106800,hashtags,londonwalkabout
154112753,hashtags,londonwalkabout
154114349,hashtags,londonwalkabout
154120996,hashtags,londonwalkabout
156456688,hashtags,waymap
156458697,hashtags,waymap
156458986,hashtags,waymap
156459261,hashtags,waymap
156460197,hashtags,waymap
156470653,hashtags,waymap
156475836,hashtags,waymap
156479276,hashtags,waymap
156489947,hashtags,waymap
156499646,hashtags,waymap
156505167,hashtags,waymap
156516651,hashtags,waymap
144396880,hashtags,streetcomplete
155786259,hashtags,waymap
155789491,hashtags,waymap
155817643,hashtags,waymap
155839957,hashtags,waymap
143831945,hashtags,streetcomplete
143834331,hashtags,streetcomplete
143853632,hashtags,streetcomplete
143871645,hashtags,streetcomplete
146382838,hashtags,tflcid
146396135,hashtags,tflcid
162123099,hashtags,amap
162156017,hashtags,amap
162200464,hashtags,amap
162200736,hashtags,amap
147282443,hashtags,maproulette
147282443,hashtags,tomtom
152945007,hashtags,addprohibitedforpedestrians
152945007,hashtags,streetcomplete
155642268,hashtags,waymap
155649444,hashtags,decorativesidewalks
158252984,hashtags,rue
164939179,hashtags,tflcid
145879847,hashtags,dwg
152068660,hashtags,addprohibitedforpedestrians
152068660,hashtags,streetcomplete
152095274,hashtags,addprohibitedforpedestrians
152095274,hashtags,streetcomplete
156834234,hashtags,addprohibitedforpedestrians
156834234,hashtags,streetcomplete
156834334,hashtags,addprohibitedforpedestrians
156834334,hashtags,streetcomplete
156834684,hashtags,addprohibitedforpedestrians
156834684,hashtags,streetcomplete
156834835,hashtags,addprohibitedforpedestrians
156834835,hashtags,streetcomplete
156842653,hashtags,addprohibitedforpedestrians
156842653,hashtags,streetcomplete
156842850,hashtags,addprohibitedforpedestrians
156842850,hashtags,streetcomplete
156923270,hashtags,addprohibitedforpedestrians
156923270,hashtags,streetcomplete
156936520,hashtags,bano
156936520,hashtags,pifometre
156936930,hashtags,bano
156936930,hashtags,pifometre
146698559,hashtags,maproulette
146698559,hashtags,tomtom
149584481,hashtags,maproulette
149584481,hashtags,mlcrossingdetection
149584746,hashtags,maproulette
149584746,hashtags,mlcrossingdetection
149589267,hashtags,maproulette
149589267,hashtags,mlcrossingdetection
149589908,hashtags,maproulette
149589908,hashtags,mlcrossingdetection
149590177,hashtags,maproulette
149590177,hashtags,mlcrossingdetection
149590293,hashtags,maproulette
149590293,hashtags,mlcrossingdetection
149590524,hashtags,maproulette
149590524,hashtags,mlcrossingdetection
149600383,hashtags,maproulette
149600383,hashtags,mlcrossingdetection
149600721,hashtags,maproulette
149600721,hashtags,mlcrossingdetection
149601014,hashtags,maproulette
149601014,hashtags,mlcrossingdetection
149601330,hashtags,maproulette
149601330,hashtags,mlcrossingdetection
152431817,hashtags,addprohibitedforpedestrians
152431817,hashtags,streetcomplete
157809287,hashtags,ukqp
157866447,hashtags,ukqp
157872320,hashtags,ukqp
157872519,hashtags,ukqp
157872960,hashtags,ukqp
157875242,hashtags,ukqp
157877318,hashtags,ukqp
157877727,hashtags,ukqp
157877976,hashtags,ukqp
157911338,hashtags,ukqp
157912814,hashtags,ukqp
157912892,hashtags,ukqp
157914126,hashtags,ukqp
157915621,hashtags,ukqp
157917216,hashtags,ukqp
157917536,hashtags,ukqp
157917797,hashtags,ukqp
157918606,hashtags,ukqp
157923137,hashtags,ukqp
157927300,hashtags,ukqp
157927794,hashtags,ukqp
162269464,hashtags,addmaxspeed
162269464,hashtags,streetcomplete
168972668,hashtags,busmiles
168973878,hashtags,use_on_ways
168974251,hashtags,use_on_ways
152233137,hashtags,addprohibitedforpedestrians
152233137,hashtags,streetcomplete
148804482,hashtags,addprohibitedforpedestrians
148804482,hashtags,streetcomplete
148804844,hashtags,addprohibitedforpedestrians
148804844,hashtags,streetcomplete
151851434,hashtags,addprohibitedforpedestrians
151851434,hashtags,streetcomplete
154376239,hashtags,busmiles
154376573,hashtags,busmiles
154391057,hashtags,busmiles
154393155,hashtags,busmiles
156961424,hashtags,waymap
156962116,hashtags,waymap
144151161,hashtags,osm
146091067,hashtags,tflcid
151717234,hashtags,tflcid
151754821,hashtags,addprohibitedforpedestrians
151754821,hashtags,streetcomplete
154246768,hashtags,busmiles
154246968,hashtags,busmiles
154264421,hashtags,busmiles
154304765,hashtags,londonwalkabout
154306092,hashtags,londonwalkabout
154310549,hashtags,londonwalkabout
154319827,hashtags,londonwalkabout
154331528,hashtags,busmiles
154340363,hashtags,busmiles
154340980,hashtags,busmiles
154341209,hashtags,busmiles
154341377,hashtags,busmiles
154342422,hashtags,busmiles
154343747,hashtags,busmiles
154360492,hashtags,busmiles
154360999,hashtags,busmiles
154361428,hashtags,busmiles
159484198,hashtags,mappingfortherenderer
163278990,hashtags,maproulette
163278990,hashtags,tomtom
163278990,hashtags,tt_mapfeedback
163285099,hashtags,maproulette
163285099,hashtags,tomtom
163285099,hashtags,tt_mapfeedback
136373020,hashtags,tflcid
150706766,hashtags,addprohibitedforpedestrians
150706766,hashtags,streetcomplete
155967646,hashtags,waymap
161088947,hashtags,mapwithai
161088947,hashtags,walkaboutlondon
161090447,hashtags,mapwithai
161090447,hashtags,walkaboutlondon
161096891,hashtags,mapwithai
161096891,hashtags,walkaboutlondon
161097947,hashtags,mapwithai
161097947,hashtags,walkaboutlondon
145908055,hashtags,maproulette
145908055,hashtags,tomtom
145958859,hashtags,tflcid
145959072,hashtags,tflcid
145988807,hashtags,dwg
145988881,hashtags,dwg
145988949,hashtags,dwg
145988990,hashtags,dwg
145989342,hashtags,dwg
153989656,hashtags,londonwalkabout
153990502,hashtags,londonwalkabout
153991019,hashtags,londonwalkabout
153991053,hashtags,londonwalkabout
153991142,hashtags,londonwalkabout
168641523,hashtags,use_on_ways
168641907,hashtags,use_on_ways
168645433,hashtags,use_on_ways
168645520,hashtags,use_on_ways
168645756,hashtags,use_on_ways
168646010,hashtags,use_on_ways
168646469,hashtags,use_on_ways
168647301,hashtags,use_on_ways
168648240,hashtags,use_on_ways
168648737,hashtags,use_on_ways
168649426,hashtags,use_on_ways
168649546,hashtags,use_on_ways
168649663,hashtags,use_on_ways
168649944,hashtags,use_on_ways
168650012,hashtags,use_on_ways
168650137,hashtags,use_on_ways
168650341,hashtags,use_on_ways
168650438,hashtags,use_on_ways
168650643,hashtags,use_on_ways
167159868,hashtags,ticket
167161354,hashtags,ticket
149906145,hashtags,waversesteenweg
157996985,hashtags,ukqp
157997409,hashtags,ukqp
157998426,hashtags,ukqp
157998698,hashtags,ukqp
169229932,hashtags,use_on_ways
169236038,hashtags,use_on_ways
169289003,hashtags,use_on_ways
169292362,hashtags,use_on_ways
169346103,hashtags,use_on_ways
143148017,hashtags,maproulette
143148515,hashtags,maproulette
143148747,hashtags,maproulette
143153389,hashtags,maproulette
143154579,hashtags,maproulette
143156484,hashtags,maproulette
143166545,hashtags,maproulette
153580448,hashtags,rue
156132061,hashtags,waymap
169856639,hashtags,use_on_ways
169862230,hashtags,use_on_ways
169862611,hashtags,use_on_ways
169909533,hashtags,use_on_ways
169916819,hashtags,use_on_ways
169917641,hashtags,use_on_ways
151062666,hashtags,mlcrossingdetection
169598869,hashtags,use_on_ways
131364286,hashtags,waymap
131366354,hashtags,waymap
131367128,hashtags,waymap
149762799,hashtags,maproulette
149762799,hashtags,mlcrossingdetection
149763083,hashtags,maproulette
149763083,hashtags,mlcrossingdetection
149763412,hashtags,maproulette
149763412,hashtags,mlcrossingdetection
149764140,hashtags,maproulette
149764140,hashtags,mlcrossingdetection
149765163,hashtags,maproulette
149765163,hashtags,mlcrossingdetection
149807167,hashtags,kapucijnenvoer
149807167,hashtags,tessenstraat
157713482,hashtags,ukqp
157721546,hashtags,ukqp
157744251,hashtags,ukqp
157745061,hashtags,ukqp
157745859,hashtags,ukqp
157746115,hashtags,ukqp
157755597,hashtags,ukqp
157758789,hashtags,ukqp
157759351,hashtags,ukqp
157759572,hashtags,ukqp
157761002,hashtags,ukqp
157774762,hashtags,ukqp
169393666,hashtags,use_on_ways
169401664,hashtags,use_on_ways
169402206,hashtags,use_on_ways
169402268,hashtags,use_on_ways
169403771,hashtags,use_on_ways
169446940,hashtags,use_on_ways
169447338,hashtags,use_on_ways
134703092,hashtags,tflcid
155520395,hashtags,waymap
155522634,hashtags,waymap
155526488,hashtags,waymap
155530609,hashtags,addprohibitedforpedestrians
155530609,hashtags,streetcomplete
155530982,hashtags,waymap
155549734,hashtags,waymap
169604431,hashtags,use_on_ways
169604534,hashtags,use_on_ways
169605073,hashtags,use_on_ways
169609212,hashtags,use_on_ways
169609357,hashtags,use_on_ways
169609691,hashtags,use_on_ways
169620513,hashtags,use_on_ways
169620842,hashtags,use_on_ways
169621240,hashtags,use_on_ways
169627161,hashtags,use_on_ways
169660412,hashtags,use_on_ways
169676632,hashtags,use_on_ways
169706859,hashtags,use_on_ways
169707050,hashtags,use_on_ways
169707796,hashtags,use_on_ways
169708784,hashtags,use_on_ways
169709024,hashtags,use_on_ways
169709471,hashtags,use_on_ways
169709902,hashtags,use_on_ways
169712805,hashtags,use_on_ways
169714051,hashtags,use_on_ways
156425294,hashtags,addprohibitedforpedestrians
156425294,hashtags,streetcomplete
156425671,hashtags,addprohibitedforpedestrians
156425671,hashtags,streetcomplete
156426046,hashtags,addprohibitedforpedestrians
156426046,hashtags,streetcomplete
159013480,hashtags,mapwithai
155843226,hashtags,waymap
155919418,hashtags,waymap
155943594,hashtags,waymap
155945947,hashtags,waymap
169744566,hashtags,use_on_ways
169744787,hashtags,use_on_ways
169754530,hashtags,use_on_ways
169755487,hashtags,use_on_ways
169757024,hashtags,use_on_ways
169757150,hashtags,use_on_ways
169771952,hashtags,use_on_ways
169772067,hashtags,use_on_ways
169773833,hashtags,use_on_ways
169783138,hashtags,use_on_ways
169816825,hashtags,maproulette
169816825,hashtags,unattachedcrossingnodes
169817371,hashtags,use_on_ways
169817684,hashtags,use_on_ways
169818686,hashtags,use_on_ways
169820460,hashtags,use_on_ways
169824654,hashtags,use_on_ways
169824878,hashtags,use_on_ways
