"userid","user","pageid","revid","parentid","ns","title","timestamp","minor","top","comment","parsedcomment","size","sizediff","new"
157068,"Multimob",17986,2891007,2891006,0,"WikiProject Belgium/Public Transport","2025-08-29T08:36:33Z","",NA,"/* Regio Kempen */ update VVR Kempen 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Kempen"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Kempen</bdi></a>: </span> update VVR Kempen 09/2025",282898,-610,NA
157068,"Multimob",17986,2891006,2871758,0,"WikiProject Belgium/Public Transport","2025-08-29T08:34:15Z","",NA,"/* Bus */ update VVR Antwerpen 09/2025","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Bus"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Bus</bdi></a>: </span> update VVR Antwerpen 09/2025",283508,-479,NA
157068,"Multimob",17986,2871758,2870858,0,"WikiProject Belgium/Public Transport","2025-07-04T08:56:58Z","",NA,"/* Regio Aalst + Vlaamse Ardennen */ VVR Aalst is now VVR Dender","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Aalst_+_Vlaamse_Ardennen"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Aalst + Vlaamse Ardennen</bdi></a>: </span> VVR Aalst is now VVR Dender",283987,1,NA
157068,"Multimob",326841,2869856,2855687,0,"Key:name:De Lijn","2025-06-26T13:22:21Z","","","updating infobox, copying text from https://wiki.openstreetmap.org/w/index.php?title=Key:name:TEC&diff=prev&oldid=2869718","updating infobox, copying text from https://wiki.openstreetmap.org/w/index.php?title=Key:name:TEC&amp;diff=prev&amp;oldid=2869718",709,56,NA
157068,"Multimob",326777,2869855,2861946,0,"Key:name:operator:De Lijn","2025-06-26T13:20:16Z","","","minor typo fix","minor typo fix",1781,0,NA
157068,"Multimob",326776,2869854,2866932,0,"Key:name:operator:TEC","2025-06-26T13:19:53Z","","","minor typo fix, and update because name:TEC is now completely unused","minor typo fix, and update because name:TEC is now completely unused",1806,-9,NA
157068,"Multimob",326776,2866932,2831674,0,"Key:name:operator:TEC","2025-06-16T08:54:44Z","",NA,"+1 reason","+1 reason",1815,96,NA
157068,"Multimob",323551,2866931,2828503,0,"Key:name:TEC","2025-06-16T08:53:40Z",NA,NA,"marking this tag as obsolete","marking this tag as obsolete",665,-454,NA
157068,"Multimob",326777,2861946,2836236,0,"Key:name:operator:De Lijn","2025-06-02T12:22:18Z","",NA,"Updating text now that no single stop uses name:De_Lijn anymore","Updating text now that no single stop uses name:De_Lijn anymore",1781,-9,NA
157068,"Multimob",326841,2855687,2828509,0,"Key:name:De Lijn","2025-05-20T09:21:41Z",NA,NA,"marking this tag as obsolete","marking this tag as obsolete",653,-79,NA
157068,"Multimob",65975,2853718,2831718,0,"WikiProject Belgium/Conventions/Bus stops","2025-05-15T13:34:09Z","","","/* Belgian transport companies */ improving description for De Lijn, also better examples for the name:operator:*, this is not just a translation but sometimes a very different name","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Conventions/Bus_stops#Belgian_transport_companies"" title=""WikiProject Belgium/Conventions/Bus stops"">→<bdi dir=""ltr"">Belgian transport companies</bdi></a>: </span> improving description for De Lijn, also better examples for the name:operator:*, this is not just a translation but sometimes a very different name",9445,77,NA
157068,"Multimob",17986,2845459,2842012,0,"WikiProject Belgium/Public Transport","2025-04-29T12:45:21Z","",NA,"/* Tram */ regenerating table for Antwerpen tramnet","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Tram"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Tram</bdi></a>: </span> regenerating table for Antwerpen tramnet",266153,564,NA
157068,"Multimob",325166,2844431,2804953,0,"Tag:operator=TEC","2025-04-28T12:20:42Z","",NA,"update for Liège tram, now open","update for Liège tram, now open",898,-50,NA
157068,"Multimob",11546,2842514,2601190,0,"WikiProject Belgium/Conventions/Railways","2025-04-23T14:20:42Z","","","/* Railways */ operator=NMBS/SNCB to use consistently for data consistency","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Conventions/Railways#Railways"" title=""WikiProject Belgium/Conventions/Railways"">→<bdi dir=""ltr"">Railways</bdi></a>: </span> operator=NMBS/SNCB to use consistently for data consistency",7044,302,NA
157068,"Multimob",17986,2842012,2841481,0,"WikiProject Belgium/Public Transport","2025-04-22T13:37:53Z","",NA,"/* Regio Limburg */ updating table, this VVR is now complete","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Limburg"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Limburg</bdi></a>: </span> updating table, this VVR is now complete",265589,250,NA
157068,"Multimob",17986,2839131,2838478,0,"WikiProject Belgium/Public Transport","2025-04-18T12:07:02Z","",NA,"/* Regio Limburg */ updating table, 18 more routes added this week","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Limburg"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Limburg</bdi></a>: </span> updating table, 18 more routes added this week",347745,450,NA
157068,"Multimob",326777,2836236,2831673,0,"Key:name:operator:De Lijn","2025-04-14T09:24:52Z","",NA,"+1 reason","+1 reason",1790,96,NA
157068,"Multimob",17986,2834822,2834051,0,"WikiProject Belgium/Public Transport","2025-04-11T11:17:21Z","",NA,"/* Regio Limburg */ updating table, 19 more routes added this week","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Limburg"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Limburg</bdi></a>: </span> updating table, 19 more routes added this week",346989,475,NA
157068,"Multimob",17986,2831722,2830847,0,"WikiProject Belgium/Public Transport","2025-04-04T14:11:45Z","",NA,"/* Regio Limburg */ updating table, 15 more routes added this week","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Limburg"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Limburg</bdi></a>: </span> updating table, 15 more routes added this week",345548,375,NA
157068,"Multimob",65975,2831718,2752570,0,"WikiProject Belgium/Conventions/Bus stops","2025-04-04T14:07:20Z","",NA,"name:De_Lijn and name:TEC will be deprecated → referring to the unambiguous name:operator:* scheme instead","name:De_Lijn and name:TEC will be deprecated → referring to the unambiguous name:operator:* scheme instead",9368,18,NA
157068,"Multimob",326776,2831674,2828161,0,"Key:name:operator:TEC","2025-04-04T10:35:11Z","",NA,"rewrite intro","rewrite intro",1719,76,NA
157068,"Multimob",326777,2831673,2828162,0,"Key:name:operator:De Lijn","2025-04-04T10:33:40Z","",NA,"rewrite intro","rewrite intro",1694,74,NA
157068,"Multimob",17986,2830193,2830166,0,"WikiProject Belgium/Public Transport","2025-03-31T14:38:43Z","",NA,"/* Regio Limburg */ updating table, more routes added today","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Limburg"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Limburg</bdi></a>: </span> updating table, more routes added today",342723,50,NA
157068,"Multimob",17986,2828810,2828500,0,"WikiProject Belgium/Public Transport","2025-03-28T12:13:34Z","",NA,"/* Regio Kempen */ updating table, this VVR is now complete","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Kempen"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Kempen</bdi></a>: </span> updating table, this VVR is now complete",341817,125,NA
157068,"Multimob",326841,2828509,0,0,"Key:name:De Lijn","2025-03-27T09:51:05Z",NA,NA,"Add description and link to the new tagging scheme","Add description and link to the new tagging scheme",732,732,""
157068,"Multimob",323551,2828503,2828157,0,"Key:name:TEC","2025-03-27T09:45:49Z","",NA,"fix link","fix link",1119,-7,NA
157068,"Multimob",30655,2828502,2823865,0,"Contributors","2025-03-27T09:43:20Z","",NA,"/* TEC (OTW) */ SRWT is now OTW, website update for TEC","<span class=""autocomment""><a href=""/wiki/Contributors#TEC_(OTW)"" title=""Contributors"">→<bdi dir=""ltr"">TEC (OTW)</bdi></a>: </span> SRWT is now OTW, website update for TEC",280791,-1,NA
157068,"Multimob",17986,2828500,2828498,0,"WikiProject Belgium/Public Transport","2025-03-27T09:36:44Z","",NA,"/* Limburg */ updating table, more routes added this month","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Limburg"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Limburg</bdi></a>: </span> updating table, more routes added this month",341692,150,NA
157068,"Multimob",17986,2828498,2825580,0,"WikiProject Belgium/Public Transport","2025-03-27T09:34:46Z","",NA,"/* Regio Kempen */ updating table, more routes added this month","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Kempen"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Kempen</bdi></a>: </span> updating table, more routes added this month",341542,75,NA
157068,"Multimob",326777,2828162,0,0,"Key:name:operator:De Lijn","2025-03-26T16:27:13Z",NA,NA,"New proposal","New proposal",1620,1620,""
157068,"Multimob",326776,2828161,0,0,"Key:name:operator:TEC","2025-03-26T16:22:53Z",NA,NA,"New proposal","New proposal",1643,1643,""
157068,"Multimob",323551,2828157,2828156,0,"Key:name:TEC","2025-03-26T16:09:45Z","",NA,"TEC acronym is never spelled out","TEC acronym is never spelled out",1126,-16,NA
157068,"Multimob",323551,2828156,2781835,0,"Key:name:TEC","2025-03-26T16:08:45Z","",NA,"name:network:* is unsuitable for Belgian PT networks (multiple sub-networks whereas names are per operator), new proposal is to replace with name:operator:TEC","name:network:* is unsuitable for Belgian PT networks (multiple sub-networks whereas names are per operator), new proposal is to replace with name:operator:TEC",1142,2,NA
157068,"Multimob",11039,2828078,2655773,0,"WikiProject Belgium/Railways","2025-03-26T11:48:55Z",NA,"","add a reference to zone:NMBS_SNCB","add a reference to zone:NMBS_SNCB",35873,58,NA
157068,"Multimob",326768,2828075,0,0,"Key:zone:NMBS SNCB","2025-03-26T11:46:43Z",NA,"","New page with description about why this tag is useful","New page with description about why this tag is useful",1366,1366,""
157068,"Multimob",17986,2825580,2825578,0,"WikiProject Belgium/Public Transport","2025-03-21T11:44:54Z",NA,NA,"/* Regio Aalst + Vlaamse Ardennen */ updating table, this VVR is now complete","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Aalst_+_Vlaamse_Ardennen"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Aalst + Vlaamse Ardennen</bdi></a>: </span> updating table, this VVR is now complete",341467,100,NA
157068,"Multimob",17986,2825578,2824078,0,"WikiProject Belgium/Public Transport","2025-03-21T11:42:49Z",NA,NA,"/* Antwerpen */ updating table, this VVR is now complete","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Antwerpen"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Antwerpen</bdi></a>: </span> updating table, this VVR is now complete",341367,250,NA
157068,"Multimob",17986,2820158,2819870,0,"WikiProject Belgium/Public Transport","2025-03-06T10:15:04Z","",NA,"/* Regio Leuven */  updating table, this VVR is now complete","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Leuven"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Leuven</bdi></a>: </span>  updating table, this VVR is now complete",341119,99,NA
157068,"Multimob",17986,2819870,2819856,0,"WikiProject Belgium/Public Transport","2025-03-05T13:02:57Z","",NA,"/* Regio Leuven */ updating table, more routes added this week","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Leuven"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Leuven</bdi></a>: </span> updating table, more routes added this week",341020,124,NA
157068,"Multimob",17986,2819856,2819854,0,"WikiProject Belgium/Public Transport","2025-03-05T11:24:46Z","",NA,"/* Regio Vlaamse Rand */ updating table, this VVR is now complete","<span class=""autocomment""><a href=""/wiki/WikiProject_Belgium/Public_Transport#Regio_Vlaamse_Rand"" title=""WikiProject Belgium/Public Transport"">→<bdi dir=""ltr"">Regio Vlaamse Rand</bdi></a>: </span> updating table, this VVR is now complete",340896,100,NA
20838,"Mga geo",213645,2892969,2892793,2,"User:Mga geo/Transports publics/Rennes","2025-09-02T15:52:31Z",NA,"","/* Mardi 02/09/2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Rennes#Mardi_02/09/2025"" title=""User:Mga geo/Transports publics/Rennes"">→<bdi dir=""ltr"">Mardi 02/09/2025</bdi></a></span>",7334,111,NA
20838,"Mga geo",213645,2892793,2892769,2,"User:Mga geo/Transports publics/Rennes","2025-09-02T07:42:05Z",NA,NA,"/* Mardi 02/09/2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Rennes#Mardi_02/09/2025"" title=""User:Mga geo/Transports publics/Rennes"">→<bdi dir=""ltr"">Mardi 02/09/2025</bdi></a></span>",7223,57,NA
20838,"Mga geo",213645,2892769,2892761,2,"User:Mga geo/Transports publics/Rennes","2025-09-02T06:09:14Z",NA,NA,"/* Mardi 02/09/2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Rennes#Mardi_02/09/2025"" title=""User:Mga geo/Transports publics/Rennes"">→<bdi dir=""ltr"">Mardi 02/09/2025</bdi></a></span>",7166,83,NA
20838,"Mga geo",213645,2892761,2872526,2,"User:Mga geo/Transports publics/Rennes","2025-09-02T05:32:17Z",NA,NA,"/* Sources */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Rennes#Sources"" title=""User:Mga geo/Transports publics/Rennes"">→<bdi dir=""ltr"">Sources</bdi></a></span>",7083,156,NA
20838,"Mga geo",206581,2892246,2892242,2,"User:Mga geo/Transports publics/Auray","2025-09-01T04:44:19Z",NA,"","/* Lundi 1 septembre 2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Auray#Lundi_1_septembre_2025"" title=""User:Mga geo/Transports publics/Auray"">→<bdi dir=""ltr"">Lundi 1 septembre 2025</bdi></a></span>",1826,54,NA
20838,"Mga geo",206581,2892242,2892239,2,"User:Mga geo/Transports publics/Auray","2025-09-01T04:39:14Z",NA,NA,"/* Lundi 1 septembre 2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Auray#Lundi_1_septembre_2025"" title=""User:Mga geo/Transports publics/Auray"">→<bdi dir=""ltr"">Lundi 1 septembre 2025</bdi></a></span>",1772,-23,NA
20838,"Mga geo",206581,2892239,2181598,2,"User:Mga geo/Transports publics/Auray","2025-09-01T04:34:57Z",NA,NA,"/* Mes actions */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Auray#Mes_actions"" title=""User:Mga geo/Transports publics/Auray"">→<bdi dir=""ltr"">Mes actions</bdi></a></span>",1795,200,NA
20838,"Mga geo",51159,2889632,2595013,0,"Rennes/Transports en commun","2025-08-27T07:31:56Z",NA,"","/* Attributs (tags) */","<span class=""autocomment""><a href=""/wiki/Rennes/Transports_en_commun#Attributs_(tags)"" title=""Rennes/Transports en commun"">→<bdi dir=""ltr"">Attributs (tags)</bdi></a></span>",68200,185,NA
20838,"Mga geo",312702,2877842,2835703,0,"Brest/Transports en commun/PTNA/Lignes-Bibus","2025-07-25T16:31:25Z",NA,"","","",2748,-7,NA
20838,"Mga geo",240507,2877354,2877133,2,"User:Mga geo/Transports publics/Lannion-Trégor","2025-07-24T04:49:30Z",NA,"","/* juillet 2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Lannion-Tr%C3%A9gor#juillet_2025"" title=""User:Mga geo/Transports publics/Lannion-Trégor"">→<bdi dir=""ltr"">juillet 2025</bdi></a></span>",2214,63,NA
20838,"Mga geo",240507,2877133,2877117,2,"User:Mga geo/Transports publics/Lannion-Trégor","2025-07-23T08:42:39Z",NA,NA,"/* Lannion-Trégor communauté */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Lannion-Tr%C3%A9gor#Lannion-Trégor_communauté"" title=""User:Mga geo/Transports publics/Lannion-Trégor"">→<bdi dir=""ltr"">Lannion-Trégor communauté</bdi></a></span>",2151,69,NA
20838,"Mga geo",240507,2877117,2795488,2,"User:Mga geo/Transports publics/Lannion-Trégor","2025-07-23T06:41:57Z",NA,NA,"/* janvier 2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Lannion-Tr%C3%A9gor#janvier_2025"" title=""User:Mga geo/Transports publics/Lannion-Trégor"">→<bdi dir=""ltr"">janvier 2025</bdi></a></span>",2082,38,NA
20838,"Mga geo",270315,2877107,2877099,2,"User:Mga geo/Transports publics/Dinan","2025-07-23T05:53:56Z",NA,"","/* Mercredi 23 juillet 2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Dinan#Mercredi_23_juillet_2025"" title=""User:Mga geo/Transports publics/Dinan"">→<bdi dir=""ltr"">Mercredi 23 juillet 2025</bdi></a></span>",1676,52,NA
20838,"Mga geo",270315,2877099,2416653,2,"User:Mga geo/Transports publics/Dinan","2025-07-23T04:41:57Z",NA,NA,"/* Mes actions */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Dinan#Mes_actions"" title=""User:Mga geo/Transports publics/Dinan"">→<bdi dir=""ltr"">Mes actions</bdi></a></span>",1624,112,NA
20838,"Mga geo",297024,2874659,2827816,2,"User:Mga geo/Transports publics/BreizhGo/tim","2025-07-16T07:14:01Z",NA,"","","",2072,130,NA
20838,"Mga geo",298150,2874658,2820397,2,"User:Mga geo/Transports publics/BreizhGo/illenoo2","2025-07-16T07:10:23Z",NA,"","/* Mes actions */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/BreizhGo/illenoo2#Mes_actions"" title=""User:Mga geo/Transports publics/BreizhGo/illenoo2"">→<bdi dir=""ltr"">Mes actions</bdi></a></span>",1652,158,NA
20838,"Mga geo",213645,2872526,2872525,2,"User:Mga geo/Transports publics/Rennes","2025-07-07T12:17:24Z",NA,NA,"/* Overpass 07/07/2025 */","<span class=""autocomment""><a href=""/wiki/User:Mga_geo/Transports_publics/Rennes#Overpass_07/07/2025"" title=""User:Mga geo/Transports publics/Rennes"">→<bdi dir=""ltr"">Overpass 07/07/2025</bdi></a></span>",6927,-4,NA
92044,"Rskedgell",332160,2893823,2893798,0,"Automated edits/rskedgell","2025-09-04T17:20:09Z",NA,"","/* Replace UK occurrences of maxweight:hgv with maxweightrating:hgv */ Added changset details for seondary and tertiary","<span class=""autocomment""><a href=""/wiki/Automated_edits/rskedgell#Replace_UK_occurrences_of_maxweight:hgv_with_maxweightrating:hgv"" title=""Automated edits/rskedgell"">→<bdi dir=""ltr"">Replace UK occurrences of maxweight:hgv with maxweightrating:hgv</bdi></a>: </span> Added changset details for seondary and tertiary",3708,302,NA
92044,"Rskedgell",332160,2893798,2893765,0,"Automated edits/rskedgell","2025-09-04T16:51:17Z",NA,NA,"/* Replace UK occurrences of maxweight:hgv with maxweightrating:hgv */ Changeset #171462029 for primary/primary link","<span class=""autocomment""><a href=""/wiki/Automated_edits/rskedgell#Replace_UK_occurrences_of_maxweight:hgv_with_maxweightrating:hgv"" title=""Automated edits/rskedgell"">→<bdi dir=""ltr"">Replace UK occurrences of maxweight:hgv with maxweightrating:hgv</bdi></a>: </span> Changeset #171462029 for primary/primary link",3406,67,NA
92044,"Rskedgell",332160,2893765,2892662,0,"Automated edits/rskedgell","2025-09-04T15:19:30Z",NA,NA,"/* Replace UK occurrences of maxweight:hgv with maxweightrating:hgv */ Replace access!=private with !access in query","<span class=""autocomment""><a href=""/wiki/Automated_edits/rskedgell#Replace_UK_occurrences_of_maxweight:hgv_with_maxweightrating:hgv"" title=""Automated edits/rskedgell"">→<bdi dir=""ltr"">Replace UK occurrences of maxweight:hgv with maxweightrating:hgv</bdi></a>: </span> Replace access!=private with !access in query",3339,-8,NA
92044,"Rskedgell",35802,2893251,2893238,0,"Road signs in the United Kingdom","2025-09-03T10:32:34Z",NA,"","/* Size/weight restrictions */ moved signs from obsolete traffic signs section","<span class=""autocomment""><a href=""/wiki/Road_signs_in_the_United_Kingdom#Size/weight_restrictions"" title=""Road signs in the United Kingdom"">→<bdi dir=""ltr"">Size/weight restrictions</bdi></a>: </span> moved signs from obsolete traffic signs section",39659,-241,NA
92044,"Rskedgell",35802,2893238,2893222,0,"Road signs in the United Kingdom","2025-09-03T10:23:05Z",NA,NA,"/* Size/weight restrictions */ Added data item Q23153 to 629, changed description to match TSRGD 2002","<span class=""autocomment""><a href=""/wiki/Road_signs_in_the_United_Kingdom#Size/weight_restrictions"" title=""Road signs in the United Kingdom"">→<bdi dir=""ltr"">Size/weight restrictions</bdi></a>: </span> Added data item Q23153 to 629, changed description to match TSRGD 2002",39900,60,NA
92044,"Rskedgell",332278,2893235,0,0,"Tag:traffic sign=GB:629","2025-09-03T10:21:42Z",NA,"","Redirect Tag:traffic_sign=GB:629 -> Road_signs_in_the_United_Kingdom#629","Redirect Tag:traffic_sign=GB:629 -&gt; Road_signs_in_the_United_Kingdom#629",50,50,""
92044,"Rskedgell",332278,2893235,0,0,"Tag:traffic sign=GB:629","2025-09-03T10:21:42Z",NA,"","Redirect Tag:traffic_sign=GB:629 -> Road_signs_in_the_United_Kingdom#629","Redirect Tag:traffic_sign=GB:629 -&gt; Road_signs_in_the_United_Kingdom#629",50,50,""
92044,"Rskedgell",332277,2893234,2893233,120,"Item:Q23153","2025-09-03T10:19:46Z",NA,NA,"/* wbsetdescription-add:1|en */ UK traffic sign indicating a width restriction (1964-2016); tag the key:highway with key:maxwidth","‎<span dir=""auto""><span class=""autocomment"">Added [en] description: </span></span> UK traffic sign indicating a width restriction (1964-2016); tag the key:highway with key:maxwidth",803,156,NA
92044,"Rskedgell",332277,2893233,2893232,120,"Item:Q23153","2025-09-03T10:19:46Z",NA,NA,"/* wbsetlabel-add:1|en */ traffic_sign=GB:629","‎<span dir=""auto""><span class=""autocomment"">Added [en] label: </span></span> traffic_sign=GB:629",647,78,NA
92044,"Rskedgell",332277,2893232,2893231,120,"Item:Q23153","2025-09-03T10:16:49Z",NA,NA,"/* wbeditentity-update:0| */ Copying [[Property:P2]] from [[Item:Q23150]]","‎<span dir=""auto""><span class=""autocomment"">Changed an Item: </span></span> Copying <a href=""/wiki/Property:P2"" title=""‎instance of‎ | ‎that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P3 (subclass of)‎""><span class=""wb-itemlink""><span class=""wb-itemlink-label"" lang=""en"" dir=""ltr"">instance of</span> <span class=""wb-itemlink-id"">(P2)</span></span></a> from <a href=""/wiki/Item:Q23150"" title=""‎traffic_sign=GB:629A‎ | ‎UK traffic sign indicating a width restriction; tag the key:highway with key:maxwidth‎""><span class=""wb-itemlink""><span class=""wb-itemlink-label"" lang=""en"" dir=""ltr"">traffic_sign=GB:629A</span> <span class=""wb-itemlink-id"">(Q23150)</span></span></a>",569,413,NA
